text,classification
" as ""leader"" of the Senate  Scares the shit out of me  I don't think I am alone  The always brilliant @elivalley  captured it best here ",0
" keep lying about what @TheIHRA definition of antisemitism actually says?   Because they aren't mere ""critics"" of Israel. They support modern antisemitism and want to normalize their seething hate for the Jewish state. ",0
- European Capital of Culture 2022 - unveiled a mural of the prolific Hebrew writer Leah Goldberg to commemorate her influence on the town's history and culture. 2⃣more massive murals representing the city's most famous Jewish residences are set to be unveiled.,0
"- greatest beard on CT @RedKatLife - 🍍🍍 @CryptoWendyO -🍍🍕🍻🥊 @I_Make_Lemonade -🍋🍋 @PayneFullHuman - simply the best @ihatecodee - bb 🦶 @LayahHeilpern - smart, outspoken and amazing 👑",0
", Trefouel, Evrard, and Walter. After her escape, Irena dedicated herself to saving as many Jews from the Nazis as possible. Her true-life adventure continues in August from @MagneticPress!",0
". Zionists weren't gifted sht  They lived in or entered Palrstine legally, &amp;bought what they had for cash, &amp;built &amp;defended everything  In fact they paid 10X the value of the land so Israel must be 10X bigger",0
"... how can they be Jews, if they are Christian. Also, already been on this topic with someone else but Feras antoon, not Jewish",0
"...dark-skinned race.  Today we find many Hebrew Israelites that reject Afrika. Yet, Matthew, who along with William Saunders Crowdy can be credited with the spread of the Black Hebrew Israelite movement, was not only born Afrika, but proudly referred to himself as an Ethiopian.",0
"..and JEW just sang ""THE CLOSER THAT YOU GET"" literally immediately after typing ""pro-equality"", @taylorswift13!..but..that's crazy, Taylor: the word ""lemons"" was just rapped, followed by ""tiptoes"" at literally the exact time i'm about to tweet about both..but at the exact time.. ",1
"..music without checking the song to buy coffee, followed by the cashier telling me about a red bull offer i can redeem with my receipt. i then see the 5s @taylorswift13, followed by telling the cashier about the RB-heir news..and JEW just sang ""we're lowering the standards"" at.. ",0
.@NoahPollak .@AOC .@SpeakerPelosi  Hate America? Vote .@TheDemocrats  Hate Jews? Vote .@TheDemocrats  I didn't leave .@TheDemocrats - they left me,0
.More proof that you are an Anonymous FAKE rabbi.  All rabbis/Jews are Zionists except for .07% who are Neturei Karta &amp; friends.  This guy will tell you. @RabbiJWeinberg,1
.No history of “fakestinians.”  Jewish history...,0
.No history of “palestinians.”  Ancient Jewish history...,0
.No history of fakestinians.  Jewish history...,0
.No history of fakestinians.  Jewish history...,0
